diagnosis_DSM5,description
D5_17.07,Uitgebreide of beperkte neurocognitieve stoornis door een middel / medicatie
D5_17.07.01,Uitgebreide of beperkte neurocognitieve stoornis door alcohol
D5_17.07.01.01,Uitgebreide neurocognitieve stoornis door alcohol
D5_17.07.01.01.01,Uitgebreide neurocognitieve stoornis door alcohol: niet-amnestisch-confabulerend type
D5_17.07.01.01.02,Uitgebreide neurocognitieve stoornis door alcohol: amnestisch-confabulerend type
D5_17.07.01.02,Beperkte neurocognitieve stoornis door alcohol
D5_17.07.01.02.01,Beperkte  neurocognitieve stoornis door alcohol
D5_17.07.02,Uitgebreide of beperkte neurocognitieve stoornis door inhalantia
D5_17.07.02.01,Uitgebreide neurocognitieve stoornis door inhalantia
D5_17.07.02.01.01,Uitgebreide neurocognitieve stoornis door inhalantia
D5_17.07.02.02,Beperkte neurocognitieve stoornis door inhalantia
D5_17.07.02.02.01,Beperkte neurocognitieve stoornis door inhalantia
D5_17.07.03,Uitgebreide of beperkte neurocognitieve stoornis door hypnotica of anxiolytica
D5_17.07.03.01,Uitgebreide neurocognitieve stoornis door hypnotica of anxiolytica
D5_17.07.03.01.01,Uitgebreide neurocognitieve stoornis door hypnotica of anxiolytica
D5_17.07.03.02,Beperkte neurocognitieve stoornis door hypnotica of anxiolytica
D5_17.07.03.02.01,Beperkte neurocognitieve stoornis door hypnotica of anxiolytica
D5_17.07.04,Uitgebreide of beperkte neurocognitieve stoornis door een ander (of onbekend) middel
D5_17.07.04.01,Uitgebreide neurocognitieve stoornis door een ander (of onbekend) middel
D5_17.07.04.01.01,Uitgebreide neurocognitieve stoornis door een ander (of onbekend) middel
D5_17.07.04.02,Beperkte neurocognitieve stoornis door een ander (of onbekend) middel
D5_17.07.04.02.01,Beperkte neurocognitieve stoornis door een ander (of onbekend) middel
D5_17.07.05,Uitgebreide of beperkte neurocognitieve stoornis door hiv-infectie
D5_17.07.05.01,Uitgebreide neurocognitieve stoornis door hiv-infectie
D5_17.07.05.01.01,Uitgebreide neurocognitieve stoornis door hiv-infectie: met gedragsstoornissen
D5_17.07.05.01.02,Uitgebreide neurocognitieve stoornis door hiv-infectie: zonder gedragsstoornissen
D5_17.07.05.02,Beperkte neurocognitieve stoornis door hiv-infectie
D5_17.07.05.02.01,Beperkte neurocognitieve stoornis door hiv-infectie: met gedragsstoornissen
D5_17.07.05.02.02,Beperkte neurocognitieve stoornis door hiv-infectie: zonder gedragsstoornissen
